  1, 5.00, 35.5, 21.09,  1, 2023
  1, 7.30, 43.5, 24.49,  2, 2023
  1, 12.69, 46.2, 27.84,  3, 2023
  1, 47.92, 64.9, 16.93,  4, 2023
  1, 86.28, 64.8, 12.95,  5, 2023
  5, 85.30, 88.0, 14.59,  6, 2023
  6, 80.82, 81.1, 10.88,  7, 2023
  7, 75.27, 80.8, 7.92,  8, 2023
  8, 79.14, 69.9, 6.60,  9, 2023
  8, 103.69, 58.8, 7.56, 10, 2023
  8, 108.06, 48.6, 10.80, 11, 2023
  8, 10.00, 36.6, 10.02, 12, 2023
  9, 2.43, 38.2, 13.20,  1, 2024
  9, 0.00, 36.0, 26.83,  2, 2024
  8, 0.00, 45.1, 27.23,  3, 2024
  8, 2.88, 72.2, 25.73,  4, 2024
  8, 30.23, 65.2, 26.74,  5, 2024
  9, 30.85, 73.3, 14.46,  6, 2024
 10, 32.75, 72.2, 12.17,  7, 2024
 10, 24.13, 78.7, 11.11,  8, 2024
 10, 49.11, 58.8, 8.14,  9, 2024
 11, 69.67, 54.2, 10.02, 10, 2024
 11, 62.02, 44.9, 7.55, 11, 2024
 12, 67.86, 50.2, 10.53, 12, 2024
 13, 59.77, 44.3, 11.14,  1, 2025
 13, 47.87, 40.5, 14.70,  2, 2025
 13, 43.39, 46.8, 15.53,  3, 2025
 13, 44.78, 71.1, 15.13,  4, 2025
 14, 32.76, 79.7, 16.14,  5, 2025
 14, 20.05, 79.1, 12.51,  6, 2025
 15, 6.46, 81.4, 9.06,  7, 2025
  7, 0.00, 80.4, 18.59,  8, 2025
  6, 1.83, 71.3, 17.24,  9, 2025
  5, 36.54, 62.0, 19.94, 10, 2025
  5, 51.71, 51.4, 9.89, 11, 2025
  5, 56.75, 47.4, 12.81, 12, 2025
  6, 56.36, 44.8, 11.33,  1, 2026
  6, 58.08, 46.6, 16.66,  2, 2026
  6, 82.77, 53.2, 15.54,  3, 2026
  7, 118.45, 62.8, 17.21,  4, 2026
  8, 133.25, 68.9, 15.73,  5, 2026
  8, 127.13, 78.0, 11.50,  6, 2026
  9, 125.58, 73.8, 10.20,  7, 2026
  9, 133.22, 69.0, 8.68,  8, 2026
  9, 133.18, 71.3, 7.40,  9, 2026
  9, 155.94, 60.3, 7.27, 10, 2026
  9, 181.74, 55.8, 9.70, 11, 2026
 10, 175.03, 42.7, 11.00, 12, 2026
 10, 174.69, 47.4, 11.83,  1, 2027
 10, 164.89, 36.6, 15.75,  2, 2027
 10, 168.95, 48.8, 15.04,  3, 2027
 10, 175.18, 70.6, 14.72,  4, 2027
 10, 182.24, 70.3, 13.07,  5, 2027
 11, 172.98, 80.5, 12.70,  6, 2027
 11, 174.23, 71.6, 11.71,  7, 2027
 11, 163.42, 83.3, 10.74,  8, 2027
 11, 193.60, 57.9, 10.13,  9, 2027
 11, 186.08, 45.4, 6.73, 10, 2027
 12, 181.49, 46.3, 9.74, 11, 2027
 12, 188.19, 50.5, 11.28, 12, 2027
 12, 180.43, 44.3, 13.74,  1, 2028
 12, 10.00, 43.1, 16.49,  2, 2028
 12, 33.81, 55.4, 17.53,  3, 2028
 12, 71.22, 60.8, 14.70,  4, 2028
 12, 66.81, 73.6, 16.05,  5, 2028
 13, 65.07, 72.6, 13.09,  6, 2028
 14, 52.12, 85.6, 9.22,  7, 2028
 15, 42.99, 73.7, 7.34,  8, 2028
  7, 33.54, 73.2, 7.31,  9, 2028
  7, 54.01, 58.5, 6.40, 10, 2028
  7, 66.57, 52.3, 8.14, 11, 2028
  7, 59.78, 36.9, 10.93, 12, 2028
